2,0.00000
2,9.97617
4,10.00824
2,56.55249
2,59.23540
4,59.24486
4,60.05848
6,60.06121
2,75.17767
2,76.26776
4,76.27183
4,76.61186
6,76.61300
6,76.62959
8,76.63018
2,83.55124
2,84.09853
4,84.10053
6,84.27424
6,84.28327
8,84.28327
10,84.28474
8,84.28474
2,88.02124
2,88.33418
4,88.33534
4,88.43536
6,88.43564
8,88.44099
6,88.44099
8,88.44151
10,88.44151
10,88.44224
12,88.44224
2,90.68519
8,90.94770
6,90.94770
4,93.6835
6,93.6866
4,94.4819
6,94.4848
2,95.0571
4,95.0571
6,95.0793
4,95.0793
4,95.5109
2,95.5109
4,95.5277
6,95.5277
2,95.8614
4,95.8614
6,95.8747
4,95.8747
4,96.1454
2,96.1454
4,96.1598
6,96.1598
2,96.3642
4,96.3642
6,96.3965
4,96.3965
4,96.5383
2,96.5383
4,96.5647
6,96.5647
2,96.6897
4,96.6897
6,96.7222
4,96.7222
4,96.8400
6,96.8400
6,414.612
6,425.703
8,472.07
8,478.719
4,473.291
6,481.227
6,484.545
4,484.616
8,486.394
6,486.931
