-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
        120.6406  |        120.6404+ |  70bl |      |      |   1.15204  -   11.42921 | 5s2.5p2         | 3P   | 1   | 5s.5p3          | 5S*  | 2   |    |        |  L11121  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        121.8880  |        121.8875+ |     7 |      |      |  16.70101  -   26.87303 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).4f | 1D   | 2   |    |        |   L7287  |
        122.5100  |        122.5097+ |    12 |      |      |  14.86806  -   24.98842 | 5s.5p3          | 3D*  | 3   | 5s2.5p.(2P*).4f | 3G   | 4   |    |        |   L7287  |
        123.6340  |        123.6329+ |     4 |      |      |  21.03672  -   31.06513 | 5s.5p3          | 1P*  | 1   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
        124.8580  |        124.8577+ |     7 |      |      |  14.86806  -   24.79810 | 5s.5p3          | 3D*  | 3   | 5s2.5p.(2P*).4f | 1F   | 3   |    |        |   L7287  |
        125.5320  |        125.5323+ |     5 |      |      |  19.28179  -   29.15847 | 5s.5p3          | 3S*  | 1   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        125.6750  |        125.6761+ |     6 |      |      |  21.19976  -   31.06513 | 5s2.5p.(2P*).5d | 3P*  | 2   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
        127.1100  |        127.1099+ |     6 |      |      |  19.40437  -   29.15847 | 5s2.5p.(2P*).5d | 3F*  | 2   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
        128.1127  |        128.1130+ |    75 |      |      |   1.75149  -   11.42921 | 5s2.5p2         | 3P   | 2   | 5s.5p3          | 5S*  | 2   |    |        |  L11121  |
        128.2890  |        128.2893+ |    12 |      |      |  19.40437  -   29.06879 | 5s2.5p.(2P*).5d | 3F*  | 2   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
        129.0570  |        129.0564+ |     3 |      |      |  21.45816  -   31.06513 | 5s2.5p.(2P*).5d | 3D*  | 1   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        130.1690  |        130.1697+ |     4 |      |      |  21.19976  -   30.72457 | 5s2.5p.(2P*).5d | 3P*  | 2   | 5s2.5p.(2P*).6p | 3S   | 1   |    |        |   L7287  |
        131.7460  |        131.7478+ |    12 |      |      |  16.54050  -   25.95122 | 5s.5p3          | 3P*  | 0   | 5s2.5p.(2P*).4f | 3D   | 1   |    |        |   L7287  |
        132.4380  |        132.4389+ |     9 |      |      |  14.39419  -   23.75581 | 5s.5p3          | 3D*  | 2   | 5s2.5p.(2P*).4f | 3F   | 2   |    |        |   L7287  |
        132.4580  |        132.4596+ |     4 |      |      |  22.83139  -   32.19154 | 5s2.5p.(2P*).5d | 3P*  | 1   | 5s2.5p.(2P*).6p | 1S   | 0   |    |        |   L7287  |
        132.9440  |        132.9427+ |     4 |      |      |  21.19976  -   30.52590 | 5s2.5p.(2P*).5d | 3P*  | 2   | 5s2.5p.(2P*).6p | 3D   | 3   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        133.0700  |        133.070+  |     3 |      |      |  21.03672  -   30.35397 | 5s.5p3          | 1P*  | 1   | 5s2.5p.(2P*).6p | 3P   | 2   |    |        |   L7287  |
        133.8050  |        133.805+  |    10 |      |      |  16.68520  -   25.95122 | 5s.5p3          | 3P*  | 1   | 5s2.5p.(2P*).4f | 3D   | 1   |    |        |   L7287  |
        134.0340  |        134.034+  |     5 |      |      |  16.70101  -   25.95122 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).4f | 3D   | 1   |    |        |   L7287  |
        134.1420  |        134.141+  |    12 |      |      |  19.91563  -   29.15847 | 5s2.5p.(2P*).5d | 3F*  | 3   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
        135.4400  |        135.440+  |     7 |      |      |  21.19976  -   30.35397 | 5s2.5p.(2P*).5d | 3P*  | 2   | 5s2.5p.(2P*).6p | 3P   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        135.9310  |        135.931+  |    13 |      |      |  14.39419  -   23.51531 | 5s.5p3          | 3D*  | 2   | 5s2.5p.(2P*).4f | 3F   | 3   |    |        |   L7287  |
        135.9740  |        135.973+  |     4 |      |      |  21.03672  -   30.15500 | 5s.5p3          | 1P*  | 1   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        137.3790  |        137.379+  |    11 |      |      |  16.68520  -   25.71019 | 5s.5p3          | 3P*  | 1   | 5s2.5p.(2P*).4f | 3D   | 2   |    |        |   L7287  |
        137.6200  |        137.620+  |    10 |      |      |  16.70101  -   25.71019 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).4f | 3D   | 2   |    |        |   L7287  |
        139.3730  |        139.374+  |     6 |      |      |  21.45816  -   30.35397 | 5s2.5p.(2P*).5d | 3D*  | 1   | 5s2.5p.(2P*).6p | 3P   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        139.7450  |        139.747+  |    9a |      |      |  19.40437  -   28.27644 | 5s2.5p.(2P*).5d | 3F*  | 2   | 5s2.5p.(2P*).6p | 3D   | 1   |    |        |   L7287  |
        140.7340  |        140.734+  |     9 |      |      |  16.70101  -   25.51084 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).4f | 3D   | 3   |    |        |   L7287  |
