----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |     Rel. |    Aki     | Acc. |       Ei           Ek       |            Lower level            |            Upper level             |Type|                TP  |       Line  |
      Wavelength      |      Wavelength      |     Int. |   (s^-1)   |      |      (eV)         (eV)      |-----------------------------------|------------------------------------|    |               Ref. |       Ref.  |
       Vac (nm)       |       Vac (nm)       |          |            |      |                             | Conf.             | Term    | J   | Conf.              | Term    | J   |    |                    |             |
          104.0336    |          104.03362+  |        a |            |      |   0.0000000  -   11.917705  | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).12s | 2[3/2]* | 1   |    |                    |      L6449  |
          104.1170    |          104.11703+  |        a | 7.9e+07    | C+   |   0.0000000  -   11.908158  | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).10d | 2[3/2]* | 1   |    |              T3180 |      L6449  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          104.2613    |          104.261284+ |        a |            |      |   0.0000000  -   11.8916815 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).10d | 2[1/2]* | 1   |    |                    |      L6449  |
          104.383497  |          104.383497+ |        a | 5.9e+07    | C    |   0.0000000  -   11.8777586 | 5p6               | 1S      | 0   | 5p5.(2P*<1/2>).7s  | 2[1/2]* | 1   |    |              T3180 |      L9794  |
          104.6123    |          104.61239+  |        a |            |      |   0.0000000  -   11.851770  | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).11s | 2[3/2]* | 1   |    |                    |      L6449  |
          104.7136    |          104.71371+  |        a | 1.27e+08   | C+   |   0.0000000  -   11.840302  | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).9d  | 2[3/2]* | 1   |    |              T3180 |      L6449  |
          105.0107    |          105.010691+ |        a | 8.5e+06    | D+   |   0.0000000  -   11.8068167 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).9d  | 2[1/2]* | 1   |    |              T3180 |      L6449  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          105.4996    |          105.499606+ |        a | 5.75e+07   | C+   |   0.0000000  -   11.7521006 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).10s | 2[3/2]* | 1   |    |        T7227,T5940 |      L6449  |
          105.612829  |          105.612829+ |        a | 1.93e+08   | C+   |   0.0000000  -   11.7395017 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).8d  | 2[3/2]* | 1   |    |        T7227,T5940 |      L9794  |
          106.125564  |          106.125563+ |        a | 1.74e+07   | C+   |   0.0000000  -   11.6827835 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).8d  | 2[1/2]* | 1   |    |        T7227,T5940 |      L9794  |
          106.8168    |          106.81679+  |        a | 3.72e+08   | C+   |   0.0000000  -   11.607182  | 5p6               | 1S      | 0   | 5p5.(2P*<1/2>).5d  | 2[3/2]* | 1   |    |        T7227,T5940 |      L6449  |
          107.0411    |          107.041044+ |        a | 1.2e+07    | D+   |   0.0000000  -   11.5828652 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).9s  | 2[3/2]* | 1   |    |              T3180 |      L6449  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          107.8584    |          107.858532+ |        a | 7.6e+06    | D+   |   0.0000000  -   11.4950757 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).7d  | 2[3/2]* | 1   |    |              T3180 |      L6449  |
          108.5441    |          108.544295+ |        a | 4.28e+07   | C+   |   0.0000000  -   11.4224518 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).7d  | 2[1/2]* | 1   |    |        T7227,T5940 |      L6449  |
          109.9716    |          109.971765+ |        a | 4.08e+07   | C+   |   0.0000000  -   11.2741847 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).8s  | 2[3/2]* | 1   |    |        T7227,T5940 |      L6449  |
          111.0713    |          111.071428+ |        a | 1.50e+08   | C+   |   0.0000000  -   11.1625646 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).6d  | 2[3/2]* | 1   |    |        T7227,T5940 |      L6449  |
