-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
        111.3291  |        111.3275+ |    70 |      |      |   4.41999  -   15.55688 | 5s2.5p3         | 2P*  | 3/2 | 5s.5p4          | 2D   | 5/2 |    |        |  L11173  |
        111.3570  |        111.3565+ |     3 |      |      |  13.25679  -   24.39078 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).6p | 2D*  | 3/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        111.4440  |        111.4436+ |     5 |      |      |  13.25679  -   24.38208 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).4f | 4D*  | 1/2 |    |        |  L11502  |
        111.6290  |        111.6284+ |     8 |      |      |  13.25679  -   24.36365 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).4f | 4F*  | 5/2 |    |        |  L11502  |
        111.7090  |        111.7099+ |     1 |      |      |  16.73546  -   27.83423 | 5s2.5p2.(3P).5d | 4F   | 3/2 | 5s2.5p2.(1D).6p | 2P*  | 3/2 |    |        |  L11502  |
        111.8417  |        111.8412+ |    35 |      |      |   2.17105  -   13.25679 | 5s2.5p3         | 2D*  | 5/2 | 5s.5p4          | 4P   | 3/2 |    |        |  L11173  |
        112.5350  |        112.5348+ |    11 |      |      |  13.25679  -   24.27420 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).4f | 4D*  | 3/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        113.8060  |        113.8056+ |     6 |      |      |  12.35674  -   23.25112 | 5s.5p4          | 4P   | 5/2 | 5s2.5p2.(3P).4f | 4D*  | 7/2 |    |        |  L11502  |
        113.9440  |        113.9440+ |     2 |      |      |  16.49330  -   27.37445 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(1D).4f | 2P*  | 1/2 |    |        |  L11502  |
        114.3250  |        114.3243+ |     4 |      |      |  13.54582  -   24.39078 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).6p | 2D*  | 3/2 |    |        |  L11502  |
        114.4160  |        114.4161+ |     9 |      |      |  13.54582  -   24.38208 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).4f | 4D*  | 1/2 |    |        |  L11502  |
        114.8710  |        114.8710+ |     4 |      |      |  16.49330  -   27.28664 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(1D).6p | 2P*  | 1/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
