----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |     Rel. | Aki  | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |    Line  |
     Wavelength     |     Wavelength     |     Int. |(s^-1)|      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |          |      |      |                           | Conf.            | Term | J   | Conf.            | Term | J   |    |        |          |
         116.6789   |         116.67909+ |        9 |      |      |  13.837307  -   24.463393 | 5s2.5p3.(4S*).5d | 5D*  | 3   | 5s2.5p3.(4S*).5f | 5F   | 4   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         117.0812   |         117.08165+ |        2 |      |      |  13.942011  -   24.531561 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(4S*).5f | 5F   | 2   |    |        |  L10579  |
         117.0988   |         117.09894+ |        2 |      |      |  13.868424  -   24.456410 | 5s2.5p3.(4S*).5d | 5D*  | 2   | 5s2.5p3.(2P*).4f | 3F   | 2   |    |        |  L10579  |
         117.3146   |         117.31522+ |        9 |      |      |  15.574530  -   26.142997 | 5s2.5p3.(4S*).6s | 3S*  | 1   | 5p6              | 1S   | 0   |    |        |  L10579  |
         117.3370   |         117.33740+ |      0.5 |      |      |  12.840820  -   23.407289 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2D*).4f | 3D   | 1   |    |        |  L10579  |
         117.3857   |         117.38620+ |        7 |      |      |  13.919927  -   24.482003 | 5s2.5p3.(4S*).5d | 5D*  | 4   | 5s2.5p3.(4S*).5f | 5F   | 5   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         117.4243   |         117.42450+ |        2 |      |      |  13.942011  -   24.500641 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(4S*).5f | 5F   | 1   |    |        |  L10579  |
         117.7617   |         117.76198+ |        1 |      |      |  13.972269  -   24.500641 | 5s2.5p3.(4S*).5d | 5D*  | 0   | 5s2.5p3.(4S*).5f | 5F   | 1   |    |        |  L10579  |
         117.8630   |         117.86287+ |        8 |      |      |  12.840820  -   23.360180 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2D*).4f | 3P   | 2   |    |        |  L10579  |
         117.9186   |         117.91848+ |        4 |      |      |  13.942011  -   24.456410 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(2P*).4f | 3F   | 2   |    |        |  L10579  |
         118.2729   |         118.27209+ |        1 |      |      |  13.837307  -   24.320270 | 5s2.5p3.(4S*).5d | 5D*  | 3   | 5s2.5p3.(2P*).4f | 3F   | 3   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         118.5767   |         118.57631+ |        2 |      |      |  14.757347  -   25.213415 | 5s2.5p3.(2D*).5d | 1P*  | 1   | 5s2.5p3.(2P*).4f | 3D   | 2   |    |        |  L10579  |
         118.6249   |         118.62420+ |        1 |      |      |  13.868424  -   24.320270 | 5s2.5p3.(4S*).5d | 5D*  | 2   | 5s2.5p3.(2P*).4f | 3F   | 3   |    |        |  L10579  |
         118.8853   |         118.88551+ |       11 |      |      |  12.182994  -   22.611867 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(2D*).4f | 3D   | 3   |    |        |  L10579  |
         119.2130   |         119.21163+ |        1 |      |      |  13.919927  -   24.320270 | 5s2.5p3.(4S*).5d | 5D*  | 4   | 5s2.5p3.(2P*).4f | 3F   | 3   |    |        |   L7270  |
         119.5107   |         119.51027+ |        2 |      |      |  15.030552  -   25.404908 | 5s2.5p3.(4S*).5d | 3D*  | 3   | 5s2.5p3.(2P*).4f | 1G   | 4   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
