-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki    | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |   Line  |
     Wavelength     |     Wavelength     |  Int. |  (s^-1)   |      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |   Ref.  |
      Vac (nm)      |      Vac (nm)      |       |           |      |                           | Conf.          | Term  | J    | Conf.          | Term  | J    |    |        |         |
         206.833    |         206.8392+  |    0a |           |      |  13.378453  -   19.370770 | 5p4.(3P<1>).5d | 2[1]  | 3/2  | 5p4.(1D<2>).4f | 2[2]* | 5/2  |    |        |  L5583  |
         206.995    |         206.9953+  |     0 |           |      |  13.391196  -   19.378994 | 5p4.(3P<0>).5d | 2[2]  | 5/2  | 5p4.(1D<2>).4f | 2[2]* | 3/2  |    |        |  L5583  |
         207.632    |         207.6311+  |     1 |           |      |  12.588819  -   18.558283 | 5p4.(3P<2>).5d | 2[4]  | 7/2  | 5p4.(3P<1>).4f | 2[3]* | 7/2  |    |        |  L5583  |
         210.284    |         210.2850+  |     0 |           |      |  13.584098  -   19.478235 | 5p4.(1D<2>).6s | 2[2]  | 5/2  | 5p4.(1D<2>).4f | 2[3]* | 7/2  |    |        |  L5583  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         210.824    |         210.8192+  |    0a |           |      |  13.442747  -   19.321950 | 5p4.(3P<1>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).6f | 2[5]* | 9/2  |    |        |  L7270  |
         211.721    |         211.7184+  |     1 |           |      |  12.541929  -   18.396168 | 5p4.(3P<0>).6s | 2[0]  | 1/2  | 5p4.(3P<1>).4f | 2[2]* | 3/2  |    |        |  L5583  |
         212.061    |         212.0600+  |     1 |           |      |  11.539016  -   17.383823 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L5583  |
         212.473    |         212.4717+  |     2 |           |      |  12.588819  -   18.422302 | 5p4.(3P<2>).5d | 2[4]  | 7/2  | 5p4.(3P<1>).4f | 2[4]* | 9/2  |    |        |  L5583  |
         212.873    |         212.8729+  |     1 |           |      |  11.539016  -   17.361506 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[4]* | 7/2  |    |        |  L5583  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         213.885    |         213.8867+  |     1 |           |      |  13.584098  -   19.378994 | 5p4.(1D<2>).6s | 2[2]  | 5/2  | 5p4.(1D<2>).4f | 2[2]* | 3/2  |    |        |  L5583  |
         214.225    |         214.2238+  |     0 |           |      |  11.539016  -   17.324794 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[3]* | 7/2  |    |        |  L7270  |
