# config, g, E, ionLevel, Qn, Eth_eV, Eth_Hz, Eth_nm
3s2.3p6                    1.0  0.000000 15.759612 1.00  1.58e+01  3.81e+15        78.6721
3s2.3p5.(2P*<3/2>).4d      7.0 14.824298 15.759612 1.00  9.35e-01  2.26e+14      1325.5892
3s2.3p5.(2P*<3/2>).6s      5.0 14.838811 15.759612 1.00  9.21e-01  2.23e+14      1346.4822
3s2.3p5.(2P*<3/2>).6s      3.0 14.848369 15.759612 1.00  9.11e-01  2.20e+14      1360.6054
3s2.3p5.(2P*<3/2>).4d      3.0 14.859230 15.759612 1.00  9.00e-01  2.18e+14      1377.0179
3s2.3p5.(2P*<3/2>).4f      3.0 14.901442 15.759612 1.00  8.58e-01  2.08e+14      1444.7512
3s2.3p5.(2P*<3/2>).4f      5.0 14.901491 15.759612 1.00  8.58e-01  2.07e+14      1444.8337
3s2.3p5.(2P*<3/2>).4f     11.0 14.903785 15.759612 1.00  8.56e-01  2.07e+14      1448.7065
3s2.3p5.(2P*<3/2>).4f      9.0 14.903790 15.759612 1.00  8.56e-01  2.07e+14      1448.7150
3s2.3p5.(2P*<3/2>).4f      7.0 14.906589 15.759612 1.00  8.53e-01  2.06e+14      1453.4686
3s2.3p5.(2P*<3/2>).4f      5.0 14.906628 15.759612 1.00  8.53e-01  2.06e+14      1453.5350
3s2.3p5.(2P*<3/2>).4f      7.0 14.909085 15.759612 1.00  8.51e-01  2.06e+14      1457.7340
3s2.3p5.(2P*<3/2>).4f      9.0 14.909089 15.759612 1.00  8.51e-01  2.06e+14      1457.7409
3s2.3p5.(2P*<1/2>).4d      5.0 14.952605 15.937106 1.00  9.85e-01  2.38e+14      1259.3614
3s2.3p5.(2P*<1/2>).4d      5.0 14.954852 15.937106 1.00  9.82e-01  2.38e+14      1262.2423
3s2.3p5.(2P*<1/2>).4d      7.0 14.971522 15.937106 1.00  9.66e-01  2.33e+14      1284.0338
3s2.3p5.(2P*<1/2>).4d      3.0 15.003566 15.937106 1.00  9.34e-01  2.26e+14      1328.1086
3s2.3p5.(2P*<3/2>).6p      3.0 15.010610 15.759612 1.00  7.49e-01  1.81e+14      1655.3256
3s2.3p5.(2P*<1/2>).6s      1.0 15.014065 15.937106 1.00  9.23e-01  2.23e+14      1343.2150
3s2.3p5.(2P*<1/2>).6s      3.0 15.022088 15.937106 1.00  9.15e-01  2.21e+14      1354.9925
3s2.3p5.(2P*<3/2>).6p      7.0 15.022591 15.759612 1.00  7.37e-01  1.78e+14      1682.2345
3s2.3p5.(2P*<3/2>).6p      5.0 15.025869 15.759612 1.00  7.34e-01  1.77e+14      1689.7499
3s2.3p5.(2P*<3/2>).6p      3.0 15.033972 15.759612 1.00  7.26e-01  1.75e+14      1708.6188
3s2.3p5.(2P*<3/2>).6p      5.0 15.035640 15.759612 1.00  7.24e-01  1.75e+14      1712.5554
3s2.3p5.(2P*<3/2>).6p      1.0 15.060390 15.759612 1.00  6.99e-01  1.69e+14      1773.1738
3s2.3p5.(2P*<1/2>).4f      7.0 15.083079 15.937106 1.00  8.54e-01  2.07e+14      1451.7604
3s2.3p5.(2P*<1/2>).4f      9.0 15.083084 15.937106 1.00  8.54e-01  2.07e+14      1451.7689
3s2.3p5.(2P*<1/2>).4f      7.0 15.083203 15.937106 1.00  8.54e-01  2.06e+14      1451.9712
3s2.3p5.(2P*<1/2>).4f      5.0 15.083246 15.937106 1.00  8.54e-01  2.06e+14      1452.0444
3s2.3p5.(2P*<3/2>).5d      1.0 15.100544 15.759612 1.00  6.59e-01  1.59e+14      1881.2052
3s2.3p5.(2P*<3/2>).5d      3.0 15.117746 15.759612 1.00  6.42e-01  1.55e+14      1931.6215
3s2.3p5.(2P*<3/2>).5d      9.0 15.130544 15.759612 1.00  6.29e-01  1.52e+14      1970.9192
3s2.3p5.(2P*<3/2>).5d      5.0 15.136848 15.759612 1.00  6.23e-01  1.51e+14      1990.8700
3s2.3p5.(2P*<3/2>).5d      7.0 15.145928 15.759612 1.00  6.14e-01  1.48e+14      2020.3267
3s2.3p5.(2P*<3/2>).5d      5.0 15.161049 15.759612 1.00  5.99e-01  1.45e+14      2071.3646
3s2.3p5.(2P*<3/2>).5d      7.0 15.166946 15.759612 1.00  5.93e-01  1.43e+14      2091.9746
3s2.3p5.(2P*<3/2>).7s      5.0 15.180634 15.759612 1.00  5.79e-01  1.40e+14      2141.4323
3s2.3p5.(2P*<3/2>).7s      3.0 15.185508 15.759612 1.00  5.74e-01  1.39e+14      2159.6125
3s2.3p5.(2P*<3/2>).5d      3.0 15.189824 15.759612 1.00  5.70e-01  1.38e+14      2175.9711
3s2.3p5.(2P*<1/2>).6p      3.0 15.200615 15.937106 1.00  7.36e-01  1.78e+14      1683.4458
3s2.3p5.(2P*<1/2>).6p      3.0 15.201658 15.937106 1.00  7.35e-01  1.78e+14      1685.8333
3s2.3p5.(2P*<1/2>).6p      5.0 15.204809 15.937106 1.00  7.32e-01  1.77e+14      1693.0872
3s2.3p5.(2P*<3/2>).5f      3.0 15.211133 15.759612 1.00  5.48e-01  1.33e+14      2260.5099
3s2.3p5.(2P*<3/2>).5f      5.0 15.211176 15.759612 1.00  5.48e-01  1.33e+14      2260.6871
3s2.3p5.(2P*<3/2>).5f     11.0 15.212320 15.759612 1.00  5.47e-01  1.32e+14      2265.4126
3s2.3p5.(2P*<3/2>).5f      9.0 15.212328 15.759612 1.00  5.47e-01  1.32e+14      2265.4457
3s2.3p5.(2P*<3/2>).5f      7.0 15.213841 15.759612 1.00  5.46e-01  1.32e+14      2271.7261
3s2.3p5.(2P*<3/2>).5f      5.0 15.213869 15.759612 1.00  5.46e-01  1.32e+14      2271.8426
3s2.3p5.(2P*<3/2>).5g      5.0 15.214033 15.759612 1.00  5.46e-01  1.32e+14      2272.5255
3s2.3p5.(2P*<3/2>).5g      7.0 15.214033 15.759612 1.00  5.46e-01  1.32e+14      2272.5255
3s2.3p5.(2P*<3/2>).5g     13.0 15.214453 15.759612 1.00  5.45e-01  1.32e+14      2274.2763
3s2.3p5.(2P*<3/2>).5g     11.0 15.214453 15.759612 1.00  5.45e-01  1.32e+14      2274.2763
3s2.3p5.(2P*<3/2>).5f      7.0 15.215071 15.759612 1.00  5.45e-01  1.32e+14      2276.8574
3s2.3p5.(2P*<3/2>).5f      9.0 15.215075 15.759612 1.00  5.45e-01  1.32e+14      2276.8741
3s2.3p5.(2P*<3/2>).5g      9.0 15.215275 15.759612 1.00  5.44e-01  1.32e+14      2277.7107
3s2.3p5.(2P*<3/2>).5g      7.0 15.215275 15.759612 1.00  5.44e-01  1.32e+14      2277.7107
3s2.3p5.(2P*<3/2>).5g     11.0 15.215712 15.759612 1.00  5.44e-01  1.32e+14      2279.5407
3s2.3p5.(2P*<3/2>).5g      9.0 15.215712 15.759612 1.00  5.44e-01  1.32e+14      2279.5407
3s2.3p5.(2P*<1/2>).6p      1.0 15.224087 15.937106 1.00  7.13e-01  1.72e+14      1738.8635
3s2.3p5.(2P*<3/2>).7p      3.0 15.271372 15.759612 1.00  4.88e-01  1.18e+14      2539.4114
3s2.3p5.(2P*<3/2>).7p      7.0 15.275570 15.759612 1.00  4.84e-01  1.17e+14      2561.4352
3s2.3p5.(2P*<3/2>).7p      5.0 15.277418 15.759612 1.00  4.82e-01  1.17e+14      2571.2519
3s2.3p5.(2P*<3/2>).7p      3.0 15.281661 15.759612 1.00  4.78e-01  1.16e+14      2594.0781
3s2.3p5.(2P*<3/2>).7p      5.0 15.282481 15.759612 1.00  4.77e-01  1.15e+14      2598.5363
3s2.3p5.(2P*<1/2>).5d      5.0 15.296293 15.937106 1.00  6.41e-01  1.55e+14      1934.7966
3s2.3p5.(2P*<3/2>).7p      1.0 15.297796 15.759612 1.00  4.62e-01  1.12e+14      2684.7105
3s2.3p5.(2P*<3/2>).6d      3.0 15.308078 15.759612 1.00  4.52e-01  1.09e+14      2745.8447
3s2.3p5.(2P*<1/2>).5d      5.0 15.312729 15.937106 1.00  6.24e-01  1.51e+14      1985.7279
3s2.3p5.(2P*<3/2>).6d      1.0 15.313155 15.759612 1.00  4.46e-01  1.08e+14      2777.0698
3s2.3p5.(2P*<1/2>).5d      7.0 15.319168 15.937106 1.00  6.18e-01  1.49e+14      2006.4195
3s2.3p5.(2P*<3/2>).6d      9.0 15.331040 15.759612 1.00  4.29e-01  1.04e+14      2892.9614
3s2.3p5.(2P*<3/2>).6d      7.0 15.346003 15.759612 1.00  4.14e-01  1.00e+14      2997.6192
3s2.3p5.(2P*<3/2>).6d      5.0 15.350299 15.759612 1.00  4.09e-01  9.90e+13      3029.0811
3s2.3p5.(2P*<1/2>).5d      3.0 15.351173 15.937106 1.00  5.86e-01  1.42e+14      2116.0148
3s2.3p5.(2P*<3/2>).6d      5.0 15.352560 15.759612 1.00  4.07e-01  9.84e+13      3045.9064
3s2.3p5.(2P*<3/2>).6d      7.0 15.353263 15.759612 1.00  4.06e-01  9.83e+13      3051.1759
3s2.3p5.(2P*<1/2>).7s      1.0 15.358295 15.937106 1.00  5.79e-01  1.40e+14      2142.0514
3s2.3p5.(2P*<1/2>).7s      3.0 15.359436 15.937106 1.00  5.78e-01  1.40e+14      2146.2823
3s2.3p5.(2P*<3/2>).8s      5.0 15.362041 15.759612 1.00  3.98e-01  9.61e+13      3118.5431
3s2.3p5.(2P*<3/2>).8s      3.0 15.366089 15.759612 1.00  3.94e-01  9.52e+13      3150.6222
3s2.3p5.(2P*<3/2>).6d      3.0 15.373670 15.759612 1.00  3.86e-01  9.33e+13      3212.5094
3s2.3p5.(2P*<3/2>).6f      3.0 15.379136 15.759612 1.00  3.80e-01  9.20e+13      3258.6610
3s2.3p5.(2P*<3/2>).6f      5.0 15.379156 15.759612 1.00  3.80e-01  9.20e+13      3258.8323
3s2.3p5.(2P*<3/2>).6f     11.0 15.379819 15.759612 1.00  3.80e-01  9.18e+13      3264.5212
3s2.3p5.(2P*<3/2>).6f      9.0 15.379822 15.759612 1.00  3.80e-01  9.18e+13      3264.5470
3s2.3p5.(2P*<3/2>).6f      7.0 15.380410 15.759612 1.00  3.79e-01  9.17e+13      3269.6091
3s2.3p5.(2P*<3/2>).6f      5.0 15.380442 15.759612 1.00  3.79e-01  9.17e+13      3269.8850
3s2.3p5.(2P*<3/2>).6g      5.0 15.380867 15.759612 1.00  3.79e-01  9.16e+13      3273.5543
3s2.3p5.(2P*<3/2>).6g      7.0 15.380867 15.759612 1.00  3.79e-01  9.16e+13      3273.5543
3s2.3p5.(2P*<3/2>).6g     11.0 15.381105 15.759612 1.00  3.79e-01  9.15e+13      3275.6126
3s2.3p5.(2P*<3/2>).6g     13.0 15.381105 15.759612 1.00  3.79e-01  9.15e+13      3275.6126
3s2.3p5.(2P*<3/2>).6f      7.0 15.381260 15.759612 1.00  3.78e-01  9.15e+13      3276.9546
3s2.3p5.(2P*<3/2>).6f      9.0 15.381262 15.759612 1.00  3.78e-01  9.15e+13      3276.9719
3s2.3p5.(2P*<3/2>).6g      9.0 15.381548 15.759612 1.00  3.78e-01  9.14e+13      3279.4509
3s2.3p5.(2P*<3/2>).6g      7.0 15.381548 15.759612 1.00  3.78e-01  9.14e+13      3279.4509
3s2.3p5.(2P*<3/2>).6g      9.0 15.381800 15.759612 1.00  3.78e-01  9.14e+13      3281.6383
3s2.3p5.(2P*<3/2>).6g     11.0 15.381800 15.759612 1.00  3.78e-01  9.14e+13      3281.6383
3s2.3p5.(2P*<1/2>).5f      7.0 15.390861 15.937106 1.00  5.46e-01  1.32e+14      2269.7561
3s2.3p5.(2P*<1/2>).5f      9.0 15.390865 15.937106 1.00  5.46e-01  1.32e+14      2269.7728
3s2.3p5.(2P*<1/2>).5f      7.0 15.391053 15.937106 1.00  5.46e-01  1.32e+14      2270.5542
3s2.3p5.(2P*<1/2>).5f      5.0 15.391080 15.937106 1.00  5.46e-01  1.32e+14      2270.6665
3s2.3p5.(2P*<1/2>).5g      9.0 15.392423 15.937106 1.00  5.45e-01  1.32e+14      2276.2652
3s2.3p5.(2P*<1/2>).5g     11.0 15.392423 15.937106 1.00  5.45e-01  1.32e+14      2276.2652
3s2.3p5.(2P*<1/2>).5g      7.0 15.392452 15.937106 1.00  5.45e-01  1.32e+14      2276.3864
3s2.3p5.(2P*<1/2>).5g      9.0 15.392452 15.937106 1.00  5.45e-01  1.32e+14      2276.3864
3s2.3p5.(2P*<3/2>).8p      3.0 15.412684 15.759612 1.00  3.47e-01  8.39e+13      3573.7742
3s2.3p5.(2P*<3/2>).8p      7.0 15.417314 15.759612 1.00  3.42e-01  8.28e+13      3622.1139
3s2.3p5.(2P*<3/2>).8p      5.0 15.418289 15.759612 1.00  3.41e-01  8.25e+13      3632.4606
3s2.3p5.(2P*<3/2>).8p      3.0 15.420697 15.759612 1.00  3.39e-01  8.19e+13      3658.2693
3s2.3p5.(2P*<3/2>).8p      5.0 15.421298 15.759612 1.00  3.38e-01  8.18e+13      3664.7681
3s2.3p5.(2P*<3/2>).8p      1.0 15.428512 15.759612 1.00  3.31e-01  8.01e+13      3744.6160
3s2.3p5.(2P*<3/2>).7d      1.0 15.439343 15.759612 1.00  3.20e-01  7.74e+13      3871.2531
3s2.3p5.(2P*<3/2>).7d      3.0 15.442836 15.759612 1.00  3.17e-01  7.66e+13      3913.9404
3s2.3p5.(2P*<3/2>).7d      5.0 15.448913 15.759612 1.00  3.11e-01  7.51e+13      3990.4936
3s2.3p5.(2P*<3/2>).7d      9.0 15.449653 15.759612 1.00  3.10e-01  7.49e+13      4000.0206
3s2.3p5.(2P*<1/2>).7p      3.0 15.453818 15.937106 1.00  4.83e-01  1.17e+14      2565.4332
3s2.3p5.(2P*<3/2>).7d      7.0 15.454567 15.759612 1.00  3.05e-01  7.38e+13      4064.4573
3s2.3p5.(2P*<1/2>).7p      3.0 15.454748 15.937106 1.00  4.82e-01  1.17e+14      2570.3794
3s2.3p5.(2P*<1/2>).7p      5.0 15.455677 15.937106 1.00  4.81e-01  1.16e+14      2575.3394
3s2.3p5.(2P*<3/2>).7d      5.0 15.459832 15.759612 1.00  3.00e-01  7.25e+13      4135.8409
3s2.3p5.(2P*<3/2>).7d      7.0 15.462699 15.759612 1.00  2.97e-01  7.18e+13      4175.7767
3s2.3p5.(2P*<1/2>).7p      1.0 15.467005 15.937106 1.00  4.70e-01  1.14e+14      2637.3973
3s2.3p5.(2P*<3/2>).9s      5.0 15.469706 15.759612 1.00  2.90e-01  7.01e+13      4276.7049
3s2.3p5.(2P*<3/2>).9s      3.0 15.471072 15.759612 1.00  2.89e-01  6.98e+13      4296.9516
3s2.3p5.(2P*<3/2>).7d      3.0 15.471767 15.759612 1.00  2.88e-01  6.96e+13      4307.3266
3s2.3p5.(2P*<3/2>).7f      3.0 15.480312 15.759612 1.00  2.79e-01  6.75e+13      4439.1064
3s2.3p5.(2P*<3/2>).7f      5.0 15.480336 15.759612 1.00  2.79e-01  6.75e+13      4439.4879
3s2.3p5.(2P*<3/2>).7f     11.0 15.480742 15.759612 1.00  2.79e-01  6.74e+13      4445.9513
3s2.3p5.(2P*<3/2>).7f      9.0 15.480743 15.759612 1.00  2.79e-01  6.74e+13      4445.9672
3s2.3p5.(2P*<3/2>).7f      7.0 15.481284 15.759612 1.00  2.78e-01  6.73e+13      4454.6091
3s2.3p5.(2P*<3/2>).7f      5.0 15.481298 15.759612 1.00  2.78e-01  6.73e+13      4454.8331
3s2.3p5.(2P*<3/2>).7g     11.0 15.481568 15.759612 1.00  2.78e-01  6.72e+13      4459.1591
3s2.3p5.(2P*<3/2>).7g     13.0 15.481568 15.759612 1.00  2.78e-01  6.72e+13      4459.1591
3s2.3p5.(2P*<3/2>).7h      7.0 15.481715 15.759612 1.00  2.78e-01  6.72e+13      4461.5179
3s2.3p5.(2P*<3/2>).7h      9.0 15.481715 15.759612 1.00  2.78e-01  6.72e+13      4461.5179
3s2.3p5.(2P*<3/2>).7f      7.0 15.481736 15.759612 1.00  2.78e-01  6.72e+13      4461.8550
3s2.3p5.(2P*<3/2>).7f      9.0 15.481743 15.759612 1.00  2.78e-01  6.72e+13      4461.9674
3s2.3p5.(2P*<3/2>).7h     13.0 15.481779 15.759612 1.00  2.78e-01  6.72e+13      4462.5456
3s2.3p5.(2P*<3/2>).7h     15.0 15.481779 15.759612 1.00  2.78e-01  6.72e+13      4462.5456
3s2.3p5.(2P*<3/2>).9p      3.0 15.502923 15.759612 1.00  2.57e-01  6.21e+13      4830.1348
3s2.3p5.(2P*<3/2>).9p      7.0 15.504736 15.759612 1.00  2.55e-01  6.16e+13      4864.4928
3s2.3p5.(2P*<3/2>).9p      5.0 15.505434 15.759612 1.00  2.54e-01  6.15e+13      4877.8512
3s2.3p5.(2P*<1/2>).6d      5.0 15.506261 15.937106 1.00  4.31e-01  1.04e+14      2877.7012
3s2.3p5.(2P*<3/2>).9p      3.0 15.507030 15.759612 1.00  2.53e-01  6.11e+13      4908.6731
3s2.3p5.(2P*<3/2>).9p      5.0 15.507341 15.759612 1.00  2.52e-01  6.10e+13      4914.7245
3s2.3p5.(2P*<1/2>).6d      5.0 15.512082 15.937106 1.00  4.25e-01  1.03e+14      2917.1134
3s2.3p5.(2P*<3/2>).9p      1.0 15.513213 15.759612 1.00  2.46e-01  5.96e+13      5031.8487
3s2.3p5.(2P*<3/2>).8d      3.0 15.514866 15.759612 1.00  2.45e-01  5.92e+13      5065.8335
3s2.3p5.(2P*<1/2>).6d      7.0 15.516615 15.937106 1.00  4.20e-01  1.02e+14      2948.5607
3s2.3p5.(2P*<3/2>).8d      1.0 15.518227 15.759612 1.00  2.41e-01  5.84e+13      5136.3693
3s2.3p5.(2P*<3/2>).8d      9.0 15.525275 15.759612 1.00  2.34e-01  5.67e+13      5290.8525
3s2.3p5.(2P*<3/2>).8d      7.0 15.531429 15.759612 1.00  2.28e-01  5.52e+13      5433.5447
3s2.3p5.(2P*<3/2>).8d      5.0 15.533100 15.759612 1.00  2.27e-01  5.48e+13      5473.6285
3s2.3p5.(2P*<1/2>).6d      3.0 15.533517 15.937106 1.00  4.04e-01  9.76e+13      3072.0443
3s2.3p5.(2P*<3/2>).8d      5.0 15.534133 15.759612 1.00  2.25e-01  5.45e+13      5498.7051
3s2.3p5.(2P*<3/2>).8d      7.0 15.534435 15.759612 1.00  2.25e-01  5.44e+13      5506.0798
3s2.3p5.(2P*<3/2>).10s     5.0 15.538932 15.759612 1.00  2.21e-01  5.34e+13      5618.2823
3s2.3p5.(2P*<3/2>).10s     3.0 15.539168 15.759612 1.00  2.20e-01  5.33e+13      5624.2971
3s2.3p5.(2P*<1/2>).8s      1.0 15.539521 15.937106 1.00  3.98e-01  9.61e+13      3118.4358
3s2.3p5.(2P*<1/2>).8s      3.0 15.541820 15.937106 1.00  3.95e-01  9.56e+13      3136.5728
3s2.3p5.(2P*<3/2>).8f      3.0 15.545920 15.759612 1.00  2.14e-01  5.17e+13      5802.0074
3s2.3p5.(2P*<3/2>).8f      5.0 15.545925 15.759612 1.00  2.14e-01  5.17e+13      5802.1432
3s2.3p5.(2P*<3/2>).8f      9.0 15.546100 15.759612 1.00  2.14e-01  5.16e+13      5806.8987
3s2.3p5.(2P*<3/2>).8f     11.0 15.546201 15.759612 1.00  2.13e-01  5.16e+13      5809.6470
3s2.3p5.(2P*<3/2>).8f      7.0 15.546505 15.759612 1.00  2.13e-01  5.15e+13      5817.9345
3s2.3p5.(2P*<3/2>).8f      5.0 15.546515 15.759612 1.00  2.13e-01  5.15e+13      5818.2075
3s2.3p5.(2P*<3/2>).8f      9.0 15.546836 15.759612 1.00  2.13e-01  5.14e+13      5826.9850
3s2.3p5.(2P*<3/2>).8f      7.0 15.546837 15.759612 1.00  2.13e-01  5.14e+13      5827.0124
3s2.3p5.(2P*<1/2>).6f      7.0 15.557865 15.937106 1.00  3.79e-01  9.17e+13      3269.2756
3s2.3p5.(2P*<1/2>).6f      9.0 15.557869 15.937106 1.00  3.79e-01  9.17e+13      3269.3101
