----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |      Ritz      |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |   Type|        TP  |    Line  |
   Wavelength   |   Wavelength   |  Int. |   (s^-1)   |      |     (eV)         (eV)     |------------------------------|------------------------------|       |       Ref. |    Ref.  |
    Vac (nm)    |    Vac (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |       |            |          |
       141.0130 |       141.0123 |    15 |            |      |  27.86599   -   36.65843  | 3s2.3p2.(3P).3d | 2D   | 3/2 | 3s2.3p2.(3P).4p | 2P*  | 1/2 |       |            |  L11418  |
       141.9590 |       141.9585 |    15 |            |      |  27.43781   -   36.171646 | 3s2.3p2.(3P).3d | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4S*  | 3/2 |       |            |  L11418  |
       142.6190 |       142.6196 |    15 |            |      |  27.47830   -   36.171646 | 3s2.3p2.(3P).3d | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4S*  | 3/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       143.5570 |       143.5556 |    14 |            |      |  28.03813   -   36.67480  | 3s2.3p2.(3P).3d | 2D   | 5/2 | 3s2.3p2.(3P).4p | 2P*  | 3/2 |       |            |  L11418  |
       144.8350 |       144.8358 |    15 |            |      |  27.374074  -   35.934402 | 3s2.3p2.(3P).3d | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       |            |  L11418  |
       145.5440 |       145.5456 |     6 |            |      |  27.64303   -   36.16162  | 3s.3p4          | 2P   | 3/2 | 3s2.3p2.(3P).4p | 2D*  | 5/2 |       |            |  L11418  |
       145.9230 |       145.9223 |    12 |            |      |  27.43781   -   35.934402 | 3s2.3p2.(3P).3d | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       |            |  L11418  |
       146.0990 |       146.0982 |    13 |            |      |  27.374074  -   35.860433 | 3s2.3p2.(3P).3d | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       147.2040 |       147.2039 |     3 |            |      |  27.43781   -   35.860433 | 3s2.3p2.(3P).3d | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       |            |  L11418  |
       147.4480 |       147.4461 |    11 |            |      |  27.43781   -   35.84660  | 3s2.3p2.(3P).3d | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 1/2 |       |            |  L11418  |
       147.9150 |       147.9148 |    12 |            |      |  27.47830   -   35.860433 | 3s2.3p2.(3P).3d | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       |            |  L11418  |
       148.1600 |       148.1593 |    10 |            |      |  27.47830   -   35.84660  | 3s2.3p2.(3P).3d | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4P*  | 1/2 |       |            |  L11418  |
       148.6010 |       148.5986 |    2q |            |      |  27.64303   -   35.98660  | 3s.3p4          | 2P   | 3/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       149.5320 |       149.5341 |     3 |            |      |  27.64303   -   35.934402 | 3s.3p4          | 2P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       |            |  L11418  |
       149.7810 |       149.7813 |    15 |            |      |  27.374074  -   35.65176  | 3s2.3p2.(3P).3d | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 7/2 |       |            |  L11418  |
       150.8800 |       150.8801 |     9 |            |      |  27.64303   -   35.860433 | 3s.3p4          | 2P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       |            |  L11418  |
       150.9840 |       150.9840 |     7 |            |      |  27.77485   -   35.98660  | 3s.3p4          | 2P   | 1/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       |            |  L11418  |
       151.6050 |       151.6047 |    12 |            |      |  27.374074  -   35.552196 | 3s2.3p2.(3P).3d | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       152.6260 |       152.6245 |    12 |            |      |  28.03813   -   36.16162  | 3s2.3p2.(3P).3d | 2D   | 5/2 | 3s2.3p2.(3P).4p | 2D*  | 5/2 |       |            |  L11418  |
       152.7950 |       152.7956 |    13 |            |      |  27.43781   -   35.552196 | 3s2.3p2.(3P).3d | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       |            |  L11418  |
       152.8180 |       152.8171 |     9 |            |      |  27.374074  -   35.487315 | 3s2.3p2.(3P).3d | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       |            |  L11418  |
       153.6000 |       153.6028 |     8 |            |      |  27.77485   -   35.84660  | 3s.3p4          | 2P   | 1/2 | 3s2.3p2.(3P).4p | 4P*  | 1/2 |       |            |  L11418  |
       153.6680 |       153.6662 |     4 |            |      |  27.86599   -   35.934402 | 3s2.3p2.(3P).3d | 2D   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       154.0260 |       154.0272 |     6 |            |      |  27.43781   -   35.487315 | 3s2.3p2.(3P).3d | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       |            |  L11418  |
       154.6660 |       154.6664 |     1 |            |      |  27.43781   -   35.454050 | 3s2.3p2.(3P).3d | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 1/2 |       |            |  L11418  |
       155.4520 |       155.4514 |     1 |            |      |  27.47830   -   35.454050 | 3s2.3p2.(3P).3d | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4D*  | 1/2 |       |            |  L11418  |
       155.9820 |       155.9851 |    9w |            |      |  28.03813   -   35.98660  | 3s2.3p2.(3P).3d | 2D   | 5/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       |            |  L11418  |
       157.0170 |       157.0162 |     6 |            |      |  28.03813   -   35.934402 | 3s2.3p2.(3P).3d | 2D   | 5/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       162.6800 |       162.6807 |   0.5 |            |      |  27.86599   -   35.487315 | 3s2.3p2.(3P).3d | 2D   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       |            |  L11418  |
       163.3930 |       163.3939 |   0.5 |            |      |  27.86599   -   35.454050 | 3s2.3p2.(3P).3d | 2D   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 1/2 |       |            |  L11418  |
       165.0020 |       165.0029 |   0.5 |            |      |  28.03813   -   35.552196 | 3s2.3p2.(3P).3d | 2D   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       |            |  L11418  |
       168.7160 |       168.7149 |     9 |            |      |  30.57797   -   37.926717 | 3s2.3p2.(3P).3d | 2F   | 5/2 | 3s2.3p2.(1D).4p | 2D*  | 3/2 |       |            |  L11418  |
       168.9190 |       168.9206 |     3 |            |      |  30.57797   -   37.917765 | 3s2.3p2.(3P).3d | 2F   | 5/2 | 3s2.3p2.(1D).4p | 2D*  | 5/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       169.2330 |       169.2339 |    12 |            |      |  30.59156   -   37.917765 | 3s2.3p2.(3P).3d | 2F   | 7/2 | 3s2.3p2.(1D).4p | 2D*  | 5/2 |       |            |  L11418  |
       174.6700 |       174.6679 |    3q |            |      |  30.59156   -   37.68984  | 3s2.3p2.(3P).3d | 2F   | 7/2 | 3s2.3p2.(1D).4p | 2F*  | 7/2 |       |            |  L11418  |
       175.3240 |       175.3236 |   4bl |            |      |  30.57797   -   37.64971  | 3s2.3p2.(3P).3d | 2F   | 5/2 | 3s2.3p2.(1D).4p | 2F*  | 5/2 |       |            |  L11418  |
