---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki     | Acc. |        Ei           Ek        |          Lower level          |          Upper level          |Type|        TP  |    Line  |
     Wavelength     |     Wavelength     |  Int. |   (s^-1)   |      |       (eV)         (eV)       |-------------------------------|-------------------------------|    |       Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |       |            |      |                               | Conf.            | Term | J   | Conf.            | Term | J   |    |            |          |
         134.0520   |         134.052656 |     9 |            |      |  19.4692154   -   28.71813306 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(2D*).4p | 3P   | 1   |    |            |   L9366  |
         134.3710   |         134.373187 |    12 |            |      |  19.4559174   -   28.68277299 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2D*).4p | 3P   | 2   |    |            |   L9366  |
         134.5680   |         134.567128 |     3 |            |      |  19.4692154   -   28.68277299 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(2D*).4p | 3P   | 2   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         142.2000   |         142.203789 |     9 |            |      |  19.4559174   -   28.17468645 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2D*).4p | 1F   | 3   |    |            |   L9366  |
         143.4070   |         143.407910 |    12 |            |      |  19.4550447   -   28.10060677 | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 4   |    |            |   L9366  |
         143.7020   |         143.701611 |    15 |            |      |  19.4550447   -   28.08293673 | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 3   |    |            |   L9366  |
         143.7170   |         143.716148 |    12 |            |      |  19.4559174   -   28.08293673 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2D*).4p | 3F   | 3   |    |            |   L9366  |
         144.0070   |         144.006125 |     3 |            |      |  19.4550447   -   28.06469227 | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 2   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         144.0210   |         144.020724 |    12 |            |      |  19.4559174   -   28.06469227 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2D*).4p | 3F   | 2   |    |            |   L9366  |
         144.2440   |         144.24354  |     9 |            |      |  19.4692154   -   28.06469227 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(2D*).4p | 3F   | 2   |    |            |   L9366  |
         146.00973  |         146.009714 |       |            |      |  19.4550447   -   27.94654815 | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(2D*).4p | 3D   | 3   |    |            |   L8114  |
         146.02487  |         146.024722 |       |            |      |  19.4559174   -   27.94654815 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2D*).4p | 3D   | 3   |    |            |   L8114  |
         146.55506  |         146.555171 |       |            |      |  19.4550447   -   27.91494398 | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(2D*).4p | 3D   | 2   |    |            |   L8114  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         146.57036  |         146.570291 |       |            |      |  19.4559174   -   27.91494398 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2D*).4p | 3D   | 2   |    |            |   L8114  |
         146.78533  |         146.78516  |       |            |      |  19.4692154   -   27.91585952 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(2D*).4p | 3D   | 1   |    |            |   L8114  |
         146.8006   |         146.80107  |     2 |            |      |  19.4692154   -   27.91494398 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(2D*).4p | 3D   | 2   |    |            |   L3263  |
         150.0740   |         150.07500  |     9 |            |      |  19.4692154   -   27.7306976  | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(2D*).4p | 1P   | 1   |    |            |   L9366  |
         154.2540   |         154.252997 |     9 |            |      |  22.2588235   -   30.29654080 | 3s2.3p3.(2P*).3d | 1D*  | 2   | 3s2.3p3.(2P*).4p | 1D   | 2   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         155.6220   |         155.61732  |     1 |            |      |  17.9641548   -   25.93140430 | 3s2.3p3.(4S*).3d | 5D*  | 2   | 3s2.3p3.(4S*).4p | 3P   | 2   |    |            |   L9366  |
         155.6630   |         155.66457  |     1 |            |      |  17.963508    -   25.92833862 | 3s2.3p3.(4S*).3d | 5D*  | 1   | 3s2.3p3.(4S*).4p | 3P   | 1   |    |            |   L9366  |
         156.8690   |         156.87042  |     9 |            |      |  20.179331    -   28.08293673 | 3s2.3p3.(2D*).3d | 3F*  | 2   | 3s2.3p3.(2D*).4p | 3F   | 3   |    |            |   L9366  |
