------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |         Ei           Ek         |            Lower level            |            Upper level            |Type|    TP  |    Line  |
      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |        (eV)         (eV)        |-----------------------------------|-----------------------------------|    |   Ref. |    Ref.  |
       Vac (nm)       |       Vac (nm)       |           |             |      |                                 | Conf.              | Term  | J    | Conf.              | Term  | J    |    |        |          |
          146.4176    |          146.41774   |         1 |             |      |  17.77579262   -   26.2436324   | 3s2.3p4.(3P).3d    | 4F    | 3/2  | 3s2.3p4.(3P<1>).6f | 2[3]* | 5/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          146.5153    |          146.51469   |         1 |             |      |  17.62885633   -   26.0910933   | 3s2.3p4.(3P).3d    | 4F    | 9/2  | 3s2.3p4.(3P<2>).6f | 2[4]* | 9/2  |    |        |  L16202  |
          146.6524    |          146.6530251 |         1 |             |      |  16.64385439   -   25.098108804 | 3s2.3p4.(3P).4s    | 4P    | 5/2  | 3s2.3p4.(3P).6p    | 4D*   | 7/2  |    |        |  L14821  |
          147.2594    |          147.2593167 |         1 |             |      |  16.64385439   -   25.063301207 | 3s2.3p4.(3P).4s    | 4P    | 5/2  | 3s2.3p4.(3P).6p    | 4P*   | 5/2  |    |        |  L14821  |
          147.4537    |          147.453821  |         1 |             |      |  17.69466481   -   26.1030057   | 3s2.3p4.(3P).3d    | 4F    | 7/2  | 3s2.3p4.(3P<2>).6f | 2[5]* | 9/2  |    |        |  L16202  |
          154.4177    |          154.4177    |         2 |             |      |  19.11606897   -   27.145213    | 3s2.3p4.(1D).3d    | 2G    | 9/2  | 3s2.3p4.(1D<2>).5f | 2[5]* | 11/2 |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          154.4711    |          154.4714798 |         2 |             |      |  19.11886231   -   27.14521116  | 3s2.3p4.(1D).3d    | 2G    | 7/2  | 3s2.3p4.(1D<2>).5f | 2[5]* | 9/2  |    |        |  L16202  |
          154.7354    |          154.73558   |         1 |             |      |  13.4797526    -   21.492402391 | 3s.3p6             | 2S    | 1/2  | 3s2.3p4.(1D).4p    | 2D*   | 3/2  |    |        |  L16202  |
          155.7302    |          155.730486  |         1 |             |      |  17.94175110   -   25.90321077  | 3s2.3p4.(3P).3d    | 2P    | 1/2  | 3s2.3p4.(1D<2>).4f | 2[2]* | 3/2  |    |        |  L16202  |
          155.9072    |          155.9071042 |         3 |             |      |  16.42557623   -   24.37801682  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<0>).4f | 2[3]* | 7/2  |    |        |  L16202  |
          156.0184    |          156.01901   |         4 |             |      |  13.4797526    -   21.42648951  | 3s.3p6             | 2S    | 1/2  | 3s2.3p4.(1D).4p    | 2P*   | 1/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          156.2441    |          156.2442072 |         2 |             |      |  16.44411446   -   24.37939735  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<0>).4f | 2[3]* | 5/2  |    |        |  L16202  |
          156.3036    |          156.3042979 |         1 |             |      |  16.40650186   -   24.33873405  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<1>).4f | 2[3]* | 7/2  |    |        |  L16202  |
          156.5377    |          156.5380795 |        1* |             |      |  17.94175110   -   25.86213691  | 3s2.3p4.(3P).3d    | 2P    | 1/2  | 3s2.3p4.(1D<2>).4f | 2[1]* | 3/2  |    |        |  L16202  |
          156.5377    |          156.5390540 |        1* |             |      |  17.94175110   -   25.86208761  | 3s2.3p4.(3P).3d    | 2P    | 1/2  | 3s2.3p4.(1D<2>).4f | 2[1]* | 1/2  |    |        |  L16202  |
          156.6812    |          156.6810636 |         1 |             |      |  16.42557623   -   24.33873405  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<1>).4f | 2[3]* | 7/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          156.7987    |          156.7986942 |         4 |             |      |  16.40650186   -   24.313723219 | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<1>).4f | 2[4]* | 9/2  |    |        |  L16202  |
          157.1390    |          157.1390750 |         1 |             |      |  16.42557623   -   24.31566967  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<1>).4f | 2[4]* | 7/2  |    |        |  L16202  |
          157.4402    |          157.4400656 |         1 |             |      |  17.74309101   -   25.61810033  | 3s2.3p4.(3P).3d    | 4F    | 5/2  | 3s2.3p4.(3P<0>).5f | 2[3]* | 7/2  |    |        |  L16202  |
          157.4992    |          157.49931   |         6 |             |      |  13.4797526    -   21.351799846 | 3s.3p6             | 2S    | 1/2  | 3s2.3p4.(1D).4p    | 2P*   | 3/2  |    |        |  L16202  |
          157.5815    |          157.5815374 |         3 |             |      |  16.44411446   -   24.31205385  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<1>).4f | 2[2]* | 5/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          157.6897    |          157.6896675 |         3 |             |      |  17.69466481   -   25.55720904  | 3s2.3p4.(3P).3d    | 4F    | 7/2  | 3s2.3p4.(3P<1>).5f | 2[4]* | 9/2  |    |        |  L16202  |
          157.8812    |          157.881190  |         3 |             |      |  16.45737782   -   24.31038415  | 3s2.3p4.(3P).3d    | 4D    | 1/2  | 3s2.3p4.(3P<1>).4f | 2[2]* | 3/2  |    |        |  L16202  |
          158.0768    |          158.0770693 |         2 |             |      |  17.77579262   -   25.61906799  | 3s2.3p4.(3P).3d    | 4F    | 3/2  | 3s2.3p4.(3P<0>).5f | 2[3]* | 5/2  |    |        |  L16202  |
          158.0960    |          158.096818  |         1 |             |      |  18.06063988   -   25.90293551  | 3s2.3p4.(3P).3d    | 2P    | 3/2  | 3s2.3p4.(1D<2>).4f | 2[2]* | 5/2  |    |        |  L16202  |
          158.3830    |          158.3833271 |         1 |             |      |  17.74309101   -   25.57120023  | 3s2.3p4.(3P).3d    | 4F    | 5/2  | 3s2.3p4.(3P<1>).5f | 2[3]* | 7/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          158.6256    |          158.6260595 |         2 |             |      |  17.74309101   -   25.55922152  | 3s2.3p4.(3P).3d    | 4F    | 5/2  | 3s2.3p4.(3P<1>).5f | 2[4]* | 7/2  |    |        |  L16202  |
          158.9463    |          158.9464536 |         5 |             |      |  17.62885633   -   25.42923159  | 3s2.3p4.(3P).3d    | 4F    | 9/2  | 3s2.3p4.(3P<2>).5f | 2[5]* | 11/2 |    |        |  L16202  |
          159.0229    |          159.0233878 |         2 |             |      |  17.77579262   -   25.57239413  | 3s2.3p4.(3P).3d    | 4F    | 3/2  | 3s2.3p4.(3P<1>).5f | 2[3]* | 5/2  |    |        |  L16202  |
          159.1933    |          159.1939108 |         1 |             |      |  16.42557623   -   24.21382629  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<2>).4f | 2[1]* | 3/2  |    |        |  L16202  |
          159.3581    |          159.3586592 |         2 |             |      |  17.62885633   -   25.40905473  | 3s2.3p4.(3P).3d    | 4F    | 9/2  | 3s2.3p4.(3P<2>).5f | 2[4]* | 9/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          159.4787    |          159.479863  |         1 |             |      |  16.40650186   -   24.18078735  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L16202  |
          159.5734    |          159.5725    |        1* |             |      |  18.732439371  -   26.502211    | 3s2.3p4.(3P).3d    | 2D    | 5/2  | 3s2.3p4.(3P<2>).7f | 2[4]* | 7/2  |    |        |  L16202  |
          159.5734    |          159.5737413 |        1* |             |      |  16.44411446   -   24.21382629  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<2>).4f | 2[1]* | 3/2  |    |        |  L16202  |
